0,0.0390625,0.0546875,0.015625,0.046875,0.0546875,0.0234375,0.03125,0.0390625,0.0234375,0.0390625,0.03125,0.0234375,0.046875,0.046875,0.046875,0.09375,0.0234375,0.0546875,0.03125,0.046875,0.03125,0.0234375,0.0390625,0.0546875,0.0390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,0.046875,0.0546875,0.03125,0.046875,0.03125,0.03125,0.015625,0.046875,0.015625,0.046875,0.0625,0.046875,0.0390625,0.0546875,0.0546875,0.03125,0.015625,0.0390625,0.0390625,0.0234375,0.0546875,0.046875,0.0234375,0.046875,0.0546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,0.046875,0.046875,0.078125,0.046875,0.03125,0.015625,0.03125,0.046875,0.015625,0.03125,0.046875,0.03125,0.0390625,0.0390625,0.03125,0.015625,0.046875,0.0546875,0.0703125,0.03125,0.0625,0.078125,0.0234375,0.015625,0.0234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,0.046875,0.015625,0.0625,0.015625,0.0234375,0.03125,0.078125,0.0390625,0.0625,0.015625,0.0078125,0.0390625,0.03125,0.03125,0.0546875,0.0234375,0.0859375,0.015625,0.046875,0.0234375,0.0546875,0.0546875,0.0390625,0.0625,0.0390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
96,0.046875,0.0234375,0.078125,0.03125,0.1015625,0.0625,0.0625,0.03125,0.015625,0.015625,0.03125,0.0234375,0.0625,0.0625,0.0234375,0.0234375,0.015625,0.0234375,0.0390625,0.0078125,0.046875,0.0390625,0.0234375,0.0625,0.046875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
120,0.046875,0.03125,0.03125,0.046875,0.046875,0.0390625,0.03125,0.0390625,0.03125,0.0625,0.046875,0.0546875,0.0546875,0.0234375,0.03125,0.0390625,0.03125,0.0859375,0.0703125,0.0078125,0,0.0703125,0.0234375,0.0390625,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
144,0.046875,0.03125,0.0546875,0.015625,0.0859375,0.0234375,0.046875,0.0390625,0.0390625,0.03125,0.0625,0.0546875,0.0703125,0.0390625,0.015625,0.03125,0.0234375,0.0390625,0.0390625,0.015625,0.046875,0.0390625,0.0546875,0.0234375,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
168,0.03125,0.0078125,0.03125,0.0234375,0.0234375,0.0234375,0.0234375,0.0625,0.0625,0.03125,0.0234375,0.0234375,0.046875,0.0625,0.046875,0.015625,0.0546875,0.0390625,0.046875,0.09375,0.046875,0.03125,0.0390625,0.0546875,0.0546875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
192,0.0078125,0.0546875,0.0546875,0.046875,0.0390625,0.015625,0.0625,0.0390625,0.03125,0.0546875,0.0390625,0.03125,0.0390625,0.046875,0.015625,0.03125,0.0546875,0.0390625,0.078125,0.0546875,0.046875,0.015625,0.0546875,0.0234375,0.0234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
216,0.0234375,0.0625,0.0390625,0.046875,0.0390625,0.0078125,0.0625,0.0546875,0.03125,0.0625,0.015625,0.0234375,0.0390625,0.0546875,0.03125,0.0703125,0.0546875,0.03125,0.03125,0.046875,0.0234375,0.046875,0.03125,0.046875,0.0234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
